"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Victor Caratini","CHC","17","17.6%","23.5%","0.75",".571",".647","1.000","1.647",".429","1.4",".778","-0.1","0.0","0.0","7","4.9",".655","314","14968"
"Charlie Culberson","ATL","12","0.0%","33.3%","0.00",".417",".417","1.083","1.500",".667","2.5",".500","0.0","0.0","-0.4","4","2.9",".599","276","3298"
"Zack Greinke","ARI","19","5.3%","21.1%","0.25",".375",".412","1.000","1.412",".625","5.1",".400","","","0.0","6","3.8",".553","246","1943"
"Cody Bellinger","LAD","132","14.4%","11.4%","1.27",".431",".508",".890","1.397",".459","5.5",".398","0.0","0.2","-0.4","42","25.9",".547","247","15998"
"Alex Avila","ARI","21","28.6%","23.8%","1.20",".333",".524",".800","1.324",".467","1.6",".375","-0.2","-0.2","0.0","6","3.5",".514","221","7476"
"Trea Turner","WSN","15","6.7%","33.3%","0.20",".357",".400",".857","1.257",".500","7.5",".429","0.1","0.0","0.8","4","2.4",".502","213","16252"
"Christian Yelich","MIL","124","16.1%","16.1%","1.00",".353",".460",".804","1.264",".451","5.0",".319","0.7","0.1","1.1","34","18.4",".492","207","11477"
"Scott Kingery","PHI","35","2.9%","14.3%","0.20",".406",".457",".719","1.176",".313","4.4",".440","0.2","0.1","0.2","9","5.0",".485","202","17975"
"Brandon Woodruff","MIL","12","8.3%","50.0%","0.17",".455",".500",".636","1.136",".182","0.6","1.000","","","0.0","3","1.6",".478","198","16162"
"Daniel Vogelbach","SEA","93","21.5%","21.5%","1.00",".310",".462",".732","1.195",".423","0.8",".318","-0.2","0.3","-0.1","24","12.6",".476","209","14130"
"Lane Thomas","STL","11","9.1%","9.1%","1.00",".400",".455",".700","1.155",".300","4.3",".375","0.0","0.0","0.2","3","1.5",".476","202","16939"
"Bryan Reynolds","PIT","26","0.0%","23.1%","0.00",".423",".423",".731","1.154",".308","0.1",".526","0.0","0.0","0.0","7","3.5",".476","199","19326"
"Eric Sogard","TOR","49","10.2%","10.2%","1.00",".395",".458",".698","1.156",".302","4.7",".400","0.1","0.1","0.4","13","6.6",".476","204","7927"
"Anthony Rendon","WSN","86","10.5%","17.4%","0.60",".356",".442",".740","1.182",".384","2.6",".377","0.1","-0.1","0.0","22","11.4",".473","194","12861"
"Mitch Garver","MIN","50","8.0%","26.0%","0.31",".348",".400",".761","1.161",".413","2.0",".393","-0.2","0.1","0.0","13","6.4",".468","198","15161"
"Tom Murphy","SEA","30","10.0%","36.7%","0.27",".370",".433",".704","1.137",".333","0.1",".571","0.0","0.1","0.0","8","3.8",".465","201","13499"
"Terrance Gore","KCR","17","5.9%","29.4%","0.20",".438",".471",".625","1.096",".188","8.3",".636","0.1","0.2","-0.5","4","2.0",".458","190","13658"
"Hunter Dozier","KCR","103","14.6%","17.5%","0.83",".349",".447",".686","1.133",".337","3.7",".371","-0.3","0.1","-0.5","25","12.3",".458","189","15117"
"Austin Meadows","TBR","83","9.6%","21.7%","0.44",".351",".422",".676","1.097",".324","6.3",".400","-0.4","0.4","0.6","19","8.9",".444","187","15672"
"Michael Chavis","BOS","39","15.4%","25.6%","0.60",".313",".436",".625","1.061",".313","3.2",".368","-0.2","0.0","-0.3","9","4.0",".439","174","17321"
"Tim Locastro","ARI","16","12.5%","31.3%","0.40",".364",".563",".364",".926",".000","7.1",".667","0.1","0.1","0.4","4","1.6",".439","171","15124"
"Giancarlo Stanton","NYY","15","46.7%","26.7%","1.75",".250",".600",".250",".850",".000","0.2",".500","-0.1","0.0","0.0","3","1.5",".438","179","4949"
"Joey Gallo","TEX","109","19.3%","34.9%","0.55",".264",".404",".678","1.082",".414","3.9",".325","0.6","0.4","-0.1","24","10.5",".431","165","14128"
"Mike Trout","LAA","119","24.4%","11.8%","2.07",".294",".487",".565","1.052",".271","3.9",".288","0.7","0.5","0.3","26","11.1",".428","171","10155"
"Willson Contreras","CHC","98","13.3%","28.6%","0.46",".288",".418",".625","1.043",".338","2.8",".356","0.1","0.2","-0.7","21","9.1",".427","165","11609"
"Elvis Andrus","TEX","120","8.3%","19.2%","0.43",".361",".425",".583","1.008",".222","6.4",".425","0.5","-0.3","0.7","26","10.6",".422","159","8709"
"Tim Anderson","CHW","99","2.0%","21.2%","0.10",".375",".394",".615","1.009",".240","7.0",".435","0.2","-0.1","1.9","21","8.5",".420","167","15172"
"Trey Mancini","BAL","121","8.3%","20.7%","0.40",".355",".405",".618","1.023",".264","2.0",".413","0.1","-0.4","-0.1","26","10.4",".420","164","15149"
"Dominic Smith","NYM","34","17.6%","17.6%","1.00",".370",".500",".444",".944",".074","2.3",".476","-0.1","-0.1","0.0","7","2.9",".419","167","15653"
"Paul DeJong","STL","129","7.8%","17.1%","0.45",".342",".403",".607","1.010",".265","6.5",".389","0.6","0.0","0.3","27","11.0",".419","164","18015"
"Pete Alonso","NYM","123","11.4%","28.5%","0.40",".292",".382",".642","1.024",".349","3.4",".349","-0.4","0.0","-0.1","26","10.2",".416","165","19251"
"Rhys Hoskins","PHI","128","16.4%","25.8%","0.64",".279",".414",".587","1.001",".308","3.6",".333","-0.4","0.1","-0.5","27","10.6",".415","157","16472"
"Brian Goodwin","LAA","95","12.6%","21.1%","0.60",".338",".426",".575","1.001",".238","4.2",".404","0.1","0.3","-0.1","20","7.7",".414","161","12858"
"Shin-Soo Choo","TEX","117","11.1%","18.8%","0.59",".333",".419",".569",".987",".235","6.4",".403","0.1","0.2","-0.1","24","9.4",".413","152","3174"
"Jeff McNeil","NYM","116","8.6%","9.5%","0.91",".370",".457",".500",".957",".130","3.8",".409","-0.5","0.3","-1.4","23","8.8",".408","160","15362"
"Christian Walker","ARI","113","10.6%","29.2%","0.36",".307",".381",".614",".994",".307","4.3",".393","0.4","0.0","0.5","23","8.4",".406","150","13419"
"Jorge Polanco","MIN","113","9.7%","15.9%","0.61",".320",".389",".600",".989",".280","4.2",".346","0.6","0.1","-0.5","23","8.4",".406","156","13152"
"Howie Kendrick","WSN","63","12.7%","14.3%","0.89",".314",".397",".608","1.005",".294","1.7",".293","-0.1","-0.2","0.0","13","4.6",".404","149","4229"
"Alex Verdugo","LAD","72","4.2%","11.1%","0.38",".333",".361",".623",".984",".290","3.2",".333","0.1","0.0","0.0","14","5.2",".404","153","17027"
"Yandy Diaz","TBR","114","14.9%","17.5%","0.85",".298",".395",".596",".990",".298","4.9",".300","0.5","-0.4","0.1","23","8.2",".403","160","16578"
"Tyler Flowers","ATL","59","6.8%","30.5%","0.22",".340",".407",".547",".954",".208","3.3",".469","-0.4","0.0","0.0","12","4.2",".402","147","9134"
"Russell Martin","LAD","27","18.5%","11.1%","1.67",".300",".444",".500",".944",".200","2.6",".294","0.0","0.1","0.0","5","1.9",".400","151","4616"
"Nelson Cruz","MIN","91","11.0%","25.3%","0.43",".295",".396",".564",".960",".269","1.5",".360","-0.5","-0.2","-0.1","18","6.1",".398","151","2434"
"James McCann","CHW","60","6.7%","21.7%","0.31",".357",".400",".536",".936",".179","4.8",".439","0.1","0.0","0.4","11","3.9",".395","150","12859"
"Joc Pederson","LAD","110","10.9%","19.1%","0.57",".239",".355",".620",".974",".380","5.1",".194","0.0","0.1","-0.1","21","7.1",".394","147","11899"
"Gary Sanchez","NYY","67","7.5%","26.9%","0.28",".233",".313",".667",".980",".433","0.7",".176","-0.3","0.2","0.0","13","4.2",".393","148","11442"
"Clint Frazier","NYY","73","4.1%","21.9%","0.19",".324",".342",".632",".975",".309","0.8",".333","-0.4","0.3","0.0","14","4.6",".393","148","15983"
"Yoan Moncada","CHW","115","7.8%","22.6%","0.35",".314",".374",".571",".945",".257","5.7",".370","0.1","0.6","-0.5","22","7.2",".392","148","17232"
"Freddie Freeman","ATL","133","15.8%","18.0%","0.88",".300",".421",".500",".921",".200","2.2",".346","0.1","-0.1","-0.5","25","8.3",".392","140","5361"
"Ronny Rodriguez","DET","32","6.3%","25.0%","0.25",".276",".313",".690","1.002",".414","7.9",".300","0.1","0.1","-0.2","6","2.0",".391","146","11875"
"Matt Chapman","OAK","131","12.2%","12.2%","1.00",".282",".382",".564",".945",".282","1.1",".261","0.1","0.2","-0.5","24","8.0",".390","150","16505"
"Jason Heyward","CHC","101","16.8%","13.9%","1.21",".309",".426",".506",".932",".198","4.6",".313","0.5","-0.1","0.7","19","6.0",".389","140","4940"
"J.D. Davis","NYM","74","14.9%","16.2%","0.92",".302",".405",".508",".913",".206","1.6",".333","-0.3","-0.2","-0.1","14","4.4",".388","147","16219"
"Alex Gordon","KCR","124","9.7%","11.3%","0.86",".301",".395",".544",".939",".243","1.7",".299","0.0","-0.3","-0.1","23","7.3",".388","142","5209"
"Marcell Ozuna","STL","114","11.4%","21.9%","0.52",".260",".351",".610",".961",".350","5.8",".246","0.5","-0.5","0.5","21","6.6",".387","144","10324"
"Luke Voit","NYY","130","13.8%","23.8%","0.58",".275",".392",".523",".915",".248","1.5",".314","-0.8","-0.1","-0.1","24","7.5",".387","144","14811"
"Aaron Judge","NYY","89","15.7%","29.2%","0.54",".288",".404",".521",".925",".233","3.2",".372","0.3","-0.1","-0.1","16","5.1",".386","144","15640"
"Josh Bell","PIT","113","10.6%","23.9%","0.44",".286",".363",".592",".955",".306","4.4",".328","-0.8","0.0","-0.5","21","6.4",".386","139","13145"
"Gio Urshela","NYY","66","7.6%","13.6%","0.56",".345",".409",".500",".909",".155","3.8",".388","-0.2","-0.1","0.2","12","3.7",".385","143","10681"
"Javier Baez","CHC","123","5.7%","26.8%","0.21",".302",".341",".612",".954",".310","6.0",".351","0.7","-0.2","-0.1","22","6.9",".385","137","12979"
"Michael Conforto","NYM","129","17.1%","22.5%","0.76",".269",".403",".519",".922",".250","4.0",".314","0.1","0.1","0.3","23","7.2",".384","144","16376"
"Eduardo Escobar","ARI","124","8.9%","21.8%","0.41",".303",".379",".541",".920",".239","3.5",".359","0.0","0.4","-0.5","22","6.8",".384","135","6153"
"George Springer","HOU","135","11.9%","25.9%","0.46",".274",".363",".564",".927",".291","3.9",".311","0.5","-0.3","0.1","24","7.3",".383","143","12856"
"Carlos Correa","HOU","116","8.6%","26.7%","0.32",".298",".362",".558",".920",".260","2.5",".368","0.4","-0.2","0.1","21","6.1",".380","142","14162"
"Jarrod Dyson","ARI","75","13.3%","16.0%","0.83",".313",".400",".500",".900",".188","6.8",".340","0.6","0.2","0.1","13","3.9",".380","133","4866"
"Alex Bregman","HOU","122","18.0%","14.8%","1.22",".271",".410",".479",".889",".208","3.3",".280","-0.6","0.2","0.3","22","6.3",".380","141","17678"
"Mookie Betts","BOS","132","13.6%","14.4%","0.95",".295",".394",".527",".921",".232","3.5",".307","0.8","0.0","0.1","23","6.8",".380","134","13611"
"Josh Donaldson","ATL","119","17.6%","26.9%","0.66",".258",".395",".495",".890",".237","2.3",".333","-0.5","0.1","-0.5","21","6.1",".379","132","5038"
"Max Kepler","MIN","102","10.8%","17.6%","0.61",".278",".353",".567",".920",".289","2.1",".273","-0.1","0.2","-0.9","18","5.1",".378","137","12144"
"Tommy Pham","TBR","125","16.8%","15.2%","1.11",".294",".416",".461",".877",".167","6.2",".325","0.0","-0.4","0.2","22","6.3",".378","143","2967"
"Matt Joyce","ATL","30","10.0%","26.7%","0.38",".259",".333",".593",".926",".333","0.3",".294","-0.1","0.1","0.0","5","1.5",".378","131","3353"
"Fernando Tatis Jr.","SDP","111","7.2%","28.8%","0.25",".300",".360",".550",".910",".250","6.4",".381","0.5","0.2","0.3","19","5.5",".377","137","19709"
"Brandon Lowe","TBR","100","8.0%","33.0%","0.24",".289",".350",".567",".917",".278","7.6",".385","0.8","0.6","0.5","17","4.9",".377","142","18882"
"Josh Reddick","HOU","99","8.1%","11.1%","0.73",".352",".404",".484",".888",".132","2.3",".377","-0.1","0.2","-0.3","17","4.9",".377","139","3892"
"Zack Wheeler","NYM","13","0.0%","38.5%","0.00",".308",".308",".615",".923",".308","2.6",".429","","","0.0","2","0.6",".377","139","10310"
"Mike Moustakas","MIL","102","10.8%","20.6%","0.52",".267",".353",".556",".908",".289","3.1",".274","-0.5","0.0","0.1","18","5.0",".377","131","4892"
"Pedro Severino","BAL","47","8.5%","21.3%","0.40",".262",".340",".571",".912",".310","0.1",".250","-0.4","0.1","0.0","8","2.3",".376","134","14523"
"Ronald Acuna Jr.","ATL","128","14.1%","21.9%","0.64",".276",".392",".495",".887",".219","5.4",".324","0.8","0.1","0.3","22","6.1",".375","129","18401"
"Eric Thames","MIL","63","7.9%","34.9%","0.23",".273",".349",".564",".913",".291","1.6",".345","0.1","0.3","0.0","11","3.0",".375","130","3711"
"David Dahl","COL","89","6.7%","31.5%","0.21",".321",".364",".543",".907",".222","4.9",".462","0.0","0.3","-0.9","15","4.2",".375","119","13744"
"Michael Brantley","HOU","129","7.0%","10.9%","0.64",".331",".380",".517",".897",".186","3.6",".340","0.4","-0.3","0.1","22","6.1",".374","138","4106"
"Cameron Maybin","NYY","13","15.4%","15.4%","1.00",".364",".462",".364",".825",".000","2.9",".444","0.1","0.0","-0.4","2","0.6",".374","135","5223"
"Carlos Santana","CLE","114","15.8%","15.8%","1.00",".316",".430",".463",".893",".147","3.3",".365","0.3","-0.1","0.1","20","5.3",".374","134","2396"
"Franchy Cordero","SDP","20","20.0%","35.0%","0.57",".333",".450",".400",".850",".067","4.5",".556","0.5","0.1","0.2","3","0.9",".373","134","14567"
"J.D. Martinez","BOS","120","10.0%","14.2%","0.71",".324",".400",".495",".895",".171","2.9",".353","-0.5","-0.3","0.1","21","5.4",".372","129","6184"
"Tommy La Stella","LAA","90","11.1%","5.6%","2.00",".250",".352",".539",".892",".289","1.8",".188","0.2","-0.2","-0.1","15","4.0",".372","133","12371"
"Omar Narvaez","SEA","101","12.9%","19.8%","0.65",".291",".386",".488",".875",".198","2.4",".323","-0.4","0.2","-0.1","17","4.5",".371","137","13338"
"Danny Santana","TEX","63","1.6%","25.4%","0.06",".339",".355",".542",".897",".203","9.3",".429","0.3","0.0","0.5","11","2.8",".371","124","10322"
"Nick Markakis","ATL","121","12.4%","13.2%","0.94",".330",".405",".476",".881",".146","1.6",".364","-0.5","-0.1","-0.1","21","5.3",".371","127","5930"
"Jean Segura","PHI","83","6.0%","13.3%","0.45",".329",".386",".487",".872",".158","7.2",".375","0.6","0.0","0.1","14","3.6",".371","128","5933"
"Ji-Man Choi","TBR","80","12.5%","20.0%","0.63",".299",".400",".463",".863",".164","4.9",".373","0.2","0.2","-0.7","13","3.4",".369","137","5452"
"Dexter Fowler","STL","94","12.8%","21.3%","0.60",".313",".415",".425",".840",".113","2.4",".407","0.0","0.1","-0.7","16","3.9",".368","131","4062"
"David Peralta","ARI","132","5.3%","24.2%","0.22",".317",".356",".537",".893",".220","3.3",".398","-0.3","-0.2","-0.1","22","5.5",".368","125","2136"
"David Bote","CHC","74","9.5%","20.3%","0.47",".277",".365",".508",".873",".231","1.8",".319","0.6","-0.2","0.0","12","3.1",".368","126","14593"
"Tim Beckham","SEA","122","9.0%","30.3%","0.30",".282",".352",".527",".880",".245","2.8",".373","-0.4","0.0","-0.7","20","5.0",".367","135","7949"
"Brian McCann","ATL","48","12.5%","8.3%","1.50",".325",".417",".450",".867",".125","0.1",".333","-0.2","-0.1","0.0","8","1.9",".367","124","4810"
"Edwin Encarnacion","SEA","125","15.2%","19.2%","0.79",".238",".376",".485",".861",".248","2.3",".229","0.2","0.1","-0.5","21","5.0",".366","134","2151"
"Marcus Semien","OAK","139","11.5%","12.9%","0.89",".311",".388",".475",".864",".164","2.5",".337","0.8","-0.1","-0.8","23","5.5",".366","133","12533"
"Anthony Rizzo","CHC","124","12.9%","16.1%","0.80",".228",".371",".485",".856",".257","5.8",".227","-1.1","0.0","0.1","20","4.8",".365","124","3473"
"Jose Martinez","STL","82","4.9%","18.3%","0.27",".364",".390",".468",".858",".104","3.9",".435","0.1","-0.3","0.1","14","3.2",".365","129","7996"
"Justin Smoak","TOR","109","14.7%","22.0%","0.67",".264",".385",".462",".847",".198","1.3",".306","-0.6","-0.3","-0.1","18","4.2",".365","129","9054"
"Bryce Harper","PHI","129","17.8%","29.5%","0.61",".240",".388",".490",".878",".250","2.9",".317","-0.6","0.3","0.1","21","4.9",".364","123","11579"
"Kolten Wong","STL","113","14.2%","15.0%","0.94",".272",".398",".467",".866",".196","6.6",".292","0.5","0.4","0.9","18","4.2",".363","128","12532"
"Hunter Pence","TEX","62","8.1%","16.1%","0.50",".304",".355",".518",".873",".214","4.2",".318","0.3","0.2","-0.3","10","2.3",".363","118","8252"
"Sean Rodriguez","PHI","15","6.7%","20.0%","0.33",".231",".286",".615",".901",".385","1.6",".222","0.0","0.0","0.0","2","0.5",".362","122","6589"
"Ronald Guzman","TEX","28","7.1%","35.7%","0.20",".231",".286",".615",".901",".385","4.0",".286","-0.3","0.0","-0.4","5","1.0",".362","118","14388"
"David Freese","LAD","53","18.9%","18.9%","1.00",".233",".377",".465",".842",".233","1.6",".258","-0.5","-0.1","0.0","9","1.9",".361","125","9549"
"Adam Jones","ARI","126","7.1%","14.3%","0.50",".286",".360",".500",".860",".214","1.5",".303","0.0","-0.4","-0.5","20","4.4",".360","120","6368"
"Paul Goldschmidt","STL","132","11.4%","25.8%","0.44",".259",".348",".517",".866",".259","1.8",".288","0.4","0.3","-0.1","21","4.6",".360","126","9218"
"Logan Forsythe","TEX","94","12.8%","23.4%","0.55",".278",".376",".468",".845",".190","3.6",".345","-0.1","0.0","0.1","15","3.2",".359","116","7185"
"Yasmani Grandal","MIL","104","9.6%","22.1%","0.43",".283",".356",".500",".856",".217","4.8",".313","-0.8","-0.1","0.5","17","3.5",".359","120","11368"
"Trevor Story","COL","131","6.9%","25.2%","0.27",".280",".344",".517",".860",".237","6.9",".329","0.5","0.5","0.3","21","4.4",".358","108","12564"
"Eddie Rosario","MIN","112","6.3%","16.1%","0.39",".238",".286",".600",".886",".362","2.2",".184","-0.1","0.1","0.0","18","3.7",".358","124","12155"
"Daniel Murphy","COL","38","13.2%","5.3%","2.50",".242",".342",".515",".857",".273","2.4",".207","0.0","0.0","0.0","6","1.2",".358","107","4316"
"John Hicks","DET","54","9.3%","24.1%","0.38",".306",".370",".469",".840",".163","2.9",".400","-0.5","0.0","0.2","9","1.7",".357","123","12547"
"Robinson Chirinos","HOU","85","11.8%","28.2%","0.42",".261",".361",".493",".854",".232","1.8",".341","-0.1","-0.1","0.0","13","2.7",".357","126","3142"
"Juan Soto","WSN","125","15.2%","25.6%","0.59",".248",".368",".467",".835",".219","4.1",".299","-0.5","0.1","0.5","20","4.0",".357","118","20123"
"Willians Astudillo","MIN","53","1.9%","1.9%","1.00",".327",".340",".531",".870",".204","2.6",".292","-0.3","-0.3","0.0","8","1.6",".356","122","15608"
"Brandon Belt","SFG","114","13.2%","23.7%","0.56",".237",".351",".495",".846",".258","4.8",".277","-0.5","0.4","-0.3","18","3.5",".356","122","10264"
"Domingo Santana","SEA","146","9.6%","26.0%","0.37",".292",".359",".485",".843",".192","4.0",".368","0.2","-0.1","0.7","23","4.5",".356","127","10348"
"Andrew McCutchen","PHI","131","17.6%","24.4%","0.72",".241",".374",".454",".828",".213","5.7",".296","-0.1","0.3","0.1","21","4.0",".356","118","9847"
"Ozzie Albies","ATL","132","7.6%","15.9%","0.48",".289",".348",".496",".844",".207","5.9",".309","0.3","0.4","-0.3","21","4.0",".355","116","16556"
"Jose Abreu","CHW","117","9.4%","23.1%","0.41",".279",".350",".500",".850",".221","4.0",".329","-0.5","-0.3","0.3","18","3.4",".353","121","15676"
"Ryan Cordell","CHW","42","11.9%","26.2%","0.45",".250",".357",".472",".829",".222","4.6",".304","-0.1","0.1","0.2","6","1.2",".353","121","15181"
"Harrison Bader","STL","63","14.3%","31.7%","0.45",".224",".387",".429",".816",".204","2.5",".308","-0.2","0.2","-0.9","10","1.8",".353","121","18030"
"Pablo Sandoval","SFG","46","0.0%","26.1%","0.00",".283",".283",".587",".870",".304","2.6",".344","-0.1","0.0","0.0","7","1.3",".353","120","5409"
"Melky Cabrera","PIT","88","3.4%","12.5%","0.27",".329",".352",".494",".846",".165","2.8",".352","-0.2","-0.3","0.2","14","2.5",".353","118","4022"
"Freddy Galvis","TOR","99","3.0%","21.2%","0.14",".313",".333",".510",".844",".198","3.6",".357","0.0","-0.1","-0.1","15","2.8",".352","121","6609"
"Mitch Haniger","SEA","142","9.2%","26.1%","0.35",".244",".331",".520",".851",".276","7.2",".284","-0.1","0.0","0.5","22","3.9",".351","124","14274"
"Enrique Hernandez","LAD","111","11.7%","23.4%","0.50",".258",".342",".505",".847",".247","3.2",".288","0.3","0.0","-0.1","17","2.9",".350","118","10472"
"Dansby Swanson","ATL","112","10.7%","22.3%","0.48",".260",".339",".521",".860",".260","5.9",".290","0.6","0.3","-0.1","17","2.9",".350","113","18314"
"Niko Goodrum","DET","98","17.3%","22.4%","0.77",".238",".367",".450",".817",".213","3.9",".286","1.1","0.1","0.1","15","2.5",".349","118","12092"
"Xander Bogaerts","BOS","123","12.2%","21.1%","0.58",".271",".358",".467",".825",".196","1.7",".321","0.0","0.3","-0.1","19","3.1",".349","114","12161"
"Jose Altuve","HOU","128","10.9%","16.4%","0.67",".248",".328",".513",".841",".265","1.6",".226","-0.1","-0.7","-0.7","19","3.2",".349","120","5417"
"Troy Tulowitzki","NYY","13","15.4%","30.8%","0.50",".182",".308",".545",".853",".364","0.1",".167","0.0","-0.3","0.0","2","0.3",".349","118","3531"
"Hunter Renfroe","SDP","82","7.3%","23.2%","0.32",".240",".293",".573",".866",".333","5.3",".235","-0.3","0.1","0.2","12","2.1",".349","118","15464"
"Chad Wallach","MIA","34","14.7%","23.5%","0.63",".276",".382",".414",".796",".138","1.1",".350","-0.1","0.1","0.0","5","0.8",".348","118","17161"
"Derek Dietrich","CIN","65","9.2%","20.0%","0.46",".204",".323",".537",".860",".333","4.6",".162","0.2","0.2","-0.5","10","1.6",".348","109","10542"
"Kevin Plawecki","CLE","33","18.2%","18.2%","1.00",".222",".364",".444",".808",".222","0.7",".250","-0.1","-0.1","0.0","5","0.8",".348","117","13807"
"Brandon Dixon","DET","19","5.3%","36.8%","0.14",".333",".368",".444",".813",".111","0.1",".545","0.0","0.0","0.0","3","0.5",".347","117","15214"
"Kelvin Gutierrez","KCR","12","8.3%","16.7%","0.50",".364",".417",".364",".780",".000","0.8",".444","0.0","0.0","0.0","2","0.3",".347","115","17468"
"Raimel Tapia","COL","72","5.6%","30.6%","0.18",".265",".306",".544",".850",".279","4.0",".349","-0.3","0.3","-0.9","11","1.7",".347","100","14350"
"Jorge Alfaro","MIA","83","3.6%","37.3%","0.10",".286",".337",".481",".818",".195","1.8",".415","-0.6","-0.2","-0.9","12","1.9",".346","117","12180"
"Gordon Beckham","DET","47","10.6%","38.3%","0.28",".220",".319",".512",".831",".293","4.9",".300","0.1","-0.1","0.2","7","1.0",".346","115","9015"
"Ben Gamel","MIL","65","13.8%","30.8%","0.45",".273",".385",".418",".803",".145","3.4",".412","0.3","0.3","-0.3","10","1.4",".345","111","12160"
"Phillip Ervin","CIN","13","23.1%","38.5%","0.60",".200",".385",".400",".785",".200","4.9",".400","0.1","0.0","-0.4","2","0.3",".344","106","14738"
"Matt Adams","WSN","54","3.7%","35.2%","0.11",".275",".296",".549",".845",".275","1.0",".367","-0.1","0.0","0.0","8","1.1",".343","109","9393"
"Whit Merrifield","KCR","130","8.5%","15.4%","0.55",".288",".346",".483",".829",".195","7.6",".316","0.2","0.2","0.1","19","2.5",".342","111","11281"
"John Ryan Murphy","ARI","41","12.2%","31.7%","0.38",".222",".317",".500",".817",".278","2.0",".250","0.2","0.2","0.0","6","0.7",".341","107","10346"
"Franmil Reyes","SDP","91","7.7%","22.0%","0.35",".232",".286",".561",".847",".329","0.1",".196","-0.1","-0.4","0.0","13","1.6",".340","113","14566"
"Jason Castro","MIN","39","20.5%","23.1%","0.89",".194",".359",".419",".778",".226","2.1",".200","-0.3","0.2","0.0","6","0.6",".339","111","8722"
"Dwight Smith Jr.","BAL","114","6.1%","17.5%","0.35",".276",".325",".486",".810",".210","5.6",".296","-0.2","-0.1","0.5","16","1.8",".338","109","13473"
"Kevan Smith","LAA","47","8.5%","12.8%","0.67",".268",".362",".415",".776",".146","2.2",".294","-0.1","-0.3","0.0","7","0.7",".338","110","12284"
"Jesse Winker","CIN","103","9.7%","18.4%","0.53",".228",".311",".511",".822",".283","2.6",".200","-0.4","-0.4","-0.5","15","1.6",".338","102","13590"
"DJ LeMahieu","NYY","113","7.1%","13.3%","0.53",".310",".363",".430",".793",".120","5.0",".345","0.1","-0.2","0.3","16","1.7",".337","111","9874"
"Mitch Moreland","BOS","100","10.0%","20.0%","0.50",".213",".290",".539",".829",".326","1.0",".177","-0.1","-0.5","0.0","14","1.5",".337","105","3086"
"Max Muncy","LAD","110","13.6%","29.1%","0.47",".247",".345",".462",".808",".215","2.7",".310","0.4","0.4","-0.1","15","1.6",".337","110","13301"
"Tyler Austin","- - -","34","17.6%","44.1%","0.40",".286",".412",".321",".733",".036","2.2",".615","0.4","0.1","0.0","5","0.5",".337","110","11850"
"Kris Bryant","CHC","121","12.4%","18.2%","0.68",".230",".355",".420",".775",".190","4.1",".263","0.6","0.0","0.1","17","1.7",".336","105","15429"
"Rafael Devers","BOS","118","11.9%","16.9%","0.70",".294",".385",".373",".757",".078","4.1",".366","0.5","0.3","-0.2","16","1.6",".335","104","17350"
"Eugenio Suarez","CIN","115","11.3%","23.5%","0.48",".230",".322",".490",".812",".260","1.0",".239","-1.1","0.1","-0.5","16","1.5",".335","101","12552"
"Mark Canha","OAK","53","20.8%","24.5%","0.85",".200",".377",".375",".752",".175","1.7",".231","-0.1","0.0","0.0","7","0.7",".335","112","11445"
"Jonathan Schoop","MIN","96","3.1%","20.8%","0.15",".267",".313",".489",".801",".222","2.2",".303","0.1","-0.2","0.0","13","1.2",".335","108","11265"
"Nolan Arenado","COL","129","7.0%","8.5%","0.82",".271",".318",".500",".818",".229","4.4",".252","0.6","0.0","-0.3","18","1.7",".335","92","9777"
"Jake Marisnick","HOU","49","6.1%","28.6%","0.21",".267",".327",".467",".793",".200","4.5",".345","0.1","0.1","-0.7","7","0.6",".335","111","11339"
"J.T. Realmuto","PHI","114","7.9%","21.1%","0.38",".280",".351",".440",".791",".160","2.7",".324","0.8","0.1","-0.5","16","1.3",".334","103","11739"
"Kyle Farmer","CIN","29","6.9%","20.7%","0.33",".200",".276",".560",".836",".360","1.8",".118","0.0","0.1","-0.4","4","0.3",".333","99","14813"
"Charlie Blackmon","COL","133","6.0%","16.5%","0.36",".279",".331",".459",".790",".180","5.7",".316","-0.3","-0.2","-0.1","18","1.4",".332","90","7859"
"Christin Stewart","DET","64","10.9%","25.0%","0.44",".222",".313",".519",".831",".296","3.2",".243","-0.6","0.2","0.0","9","0.7",".332","106","17714"
"Adalberto Mondesi","KCR","126","4.8%","27.0%","0.18",".287",".312",".504",".816",".217","8.4",".366","0.1","0.3","1.1","17","1.3",".331","104","13769"
"Joey Votto","CIN","110","13.6%","25.5%","0.54",".245",".355",".415",".769",".170","1.3",".317","-0.5","-0.3","-0.1","15","1.0",".330","98","4314"
"Nick Castellanos","DET","109","8.3%","28.4%","0.29",".273",".330",".455",".785",".182","5.7",".373","-0.2","0.1","0.1","15","0.9",".330","105","11737"
"Renato Nunez","BAL","117","6.0%","27.4%","0.22",".266",".316",".477",".793",".211","2.4",".324","0.0","0.1","-0.5","16","1.0",".330","103","14503"
"Neil Walker","MIA","88","10.2%","21.6%","0.47",".256",".341",".423",".764",".167","2.4",".304","-0.3","0.0","0.1","12","0.7",".329","106","7539"
